[Type]	[PID]	[Module]                            	[Function]                                                               	[Length]	[Current Data]               	[Original Data]              	[Record Address]  	[RVA]
IAT   	6300 	SCPSL.exe::NvCamera64.dll           	KERNEL32.dll!TryEnterCriticalSection                                     	8       	0x00007FFF9A4907E0           	0x00007FFF999360EE           	0x00007FFF42DF55F8	     
IAT   	6300 	SCPSL.exe::msvcp140.dll             	KERNEL32.dll!TryEnterCriticalSection                                     	8       	0x00007FFF9A4907E0           	0x00007FFF999360EE           	0x00007FFF7DDA51C0	     
IAT   	6300 	SCPSL.exe::AudioPluginDissonance.dll	KERNEL32.dll!TryEnterCriticalSection                                     	8       	0x00007FFF9A4907E0           	0x00007FFF999360EE           	0x00007FFF7DF38008	     
IAT   	6300 	SCPSL.exe::MessageBus.dll           	KERNEL32.dll!TryEnterCriticalSection                                     	8       	0x00007FFF9A4907E0           	0x00007FFF999360EE           	0x00007FFF7E86C258	     
IAT   	6300 	SCPSL.exe::nvapi64.dll              	KERNEL32.dll!TryEnterCriticalSection                                     	8       	0x00007FFF9A4907E0           	0x00007FFF999360EE           	0x00007FFF8B532448	     
IAT   	6300 	SCPSL.exe::igc64.dll                	kernel32.dll!VerSetConditionMask                                         	8       	0x00007FFF9A4E0550           	0x00007FFF99936402           	0x00007FFF8488D068	     
IAT   	6300 	SCPSL.exe::nvwgf2umx_cfg.dll        	KERNEL32.dll!VerSetConditionMask                                         	8       	0x00007FFF9A4E0550           	0x00007FFF99936402           	0x0000029CCCA9D258	     
IAT   	6300 	SCPSL.exe::steamclient64.dll        	KERNEL32.dll!VerSetConditionMask                                         	8       	0x00007FFF9A4E0550           	0x00007FFF99936402           	0x00007FFF30E6F2A8	     
IAT   	6300 	SCPSL.exe::UnityPlayer.dll          	KERNEL32.dll!VerSetConditionMask                                         	8       	0x00007FFF9A4E0550           	0x00007FFF99936402           	0x00007FFF3A36B8A0	     
IAT   	6300 	SCPSL.exe::tier0_s64.dll            	KERNEL32.dll!VerSetConditionMask                                         	8       	0x00007FFF9A4E0550           	0x00007FFF99936402           	0x00007FFF422D0250	     
IAT   	6300 	SCPSL.exe::NvCamera64.dll           	KERNEL32.dll!VerSetConditionMask                                         	8       	0x00007FFF9A4E0550           	0x00007FFF99936402           	0x00007FFF42DF5110	     
IAT   	6300 	SCPSL.exe::nvspcap64.dll            	KERNEL32.dll!VerSetConditionMask                                         	8       	0x00007FFF9A4E0550           	0x00007FFF99936402           	0x00007FFF435263C8	     
IAT   	6300 	SCPSL.exe::opengl32.dll             	KERNEL32.dll!VerSetConditionMask                                         	8       	0x00007FFF9A4E0550           	0x00007FFF99936402           	0x00007FFF68051F70	     
IAT   	6300 	SCPSL.exe::vstdlib_s64.dll          	KERNEL32.dll!VerSetConditionMask                                         	8       	0x00007FFF9A4E0550           	0x00007FFF99936402           	0x00007FFF7DE35070	     
IAT   	6300 	SCPSL.exe::nvapi64.dll              	KERNEL32.dll!VerSetConditionMask                                         	8       	0x00007FFF9A4E0550           	0x00007FFF99936402           	0x00007FFF8B532348	     
IAT   	6300 	SCPSL.exe::opengl32.dll             	KERNEL32.dll!WaitForThreadpoolTimerCallbacks                             	8       	0x00007FFF9A481200           	0x00007FFF9993663A           	0x00007FFF68051EB0	     
IAT   	6300 	SCPSL.exe::msvcp140.dll             	KERNEL32.dll!WaitForThreadpoolTimerCallbacks                             	8       	0x00007FFF9A481200           	0x00007FFF9993663A           	0x00007FFF7DDA5110	     
IAT   	6300 	SCPSL.exe::igc64.dll                	kernel32.dll!WakeAllConditionVariable                                    	8       	0x00007FFF9A4C53D0           	0x00007FFF999366EC           	0x00007FFF8488D2F8	     
IAT   	6300 	SCPSL.exe::igd10iumd64.dll          	kernel32.dll!WakeAllConditionVariable                                    	8       	0x00007FFF9A4C53D0           	0x00007FFF999366EC           	0x00007FFF8896E200	     
IAT   	6300 	SCPSL.exe::GameAssembly.dll         	KERNEL32.dll!WakeAllConditionVariable                                    	8       	0x00007FFF9A4C53D0           	0x00007FFF999366EC           	0x00007FFF38129138	     
IAT   	6300 	SCPSL.exe::NvCamera64.dll           	KERNEL32.dll!WakeAllConditionVariable                                    	8       	0x00007FFF9A4C53D0           	0x00007FFF999366EC           	0x00007FFF42DF5618	     
IAT   	6300 	SCPSL.exe::msvcp140.dll             	KERNEL32.dll!WakeAllConditionVariable                                    	8       	0x00007FFF9A4C53D0           	0x00007FFF999366EC           	0x00007FFF7DDA5228	     
IAT   	6300 	SCPSL.exe::nvapi64.dll              	KERNEL32.dll!WakeAllConditionVariable                                    	8       	0x00007FFF9A4C53D0           	0x00007FFF999366EC           	0x00007FFF8B532650	     
IAT   	6300 	SCPSL.exe::igd10iumd64.dll          	kernel32.dll!WakeConditionVariable                                       	8       	0x00007FFF9A4C4A60           	0x00007FFF99936724           	0x00007FFF8896E1F8	     
IAT   	6300 	SCPSL.exe::GameAssembly.dll         	KERNEL32.dll!WakeConditionVariable                                       	8       	0x00007FFF9A4C4A60           	0x00007FFF99936724           	0x00007FFF38129130	     
IAT   	6300 	SCPSL.exe::NvCamera64.dll           	KERNEL32.dll!WakeConditionVariable                                       	8       	0x00007FFF9A4C4A60           	0x00007FFF99936724           	0x00007FFF42DF5610	     
IAT   	6300 	SCPSL.exe::msvcp140.dll             	KERNEL32.dll!WakeConditionVariable                                       	8       	0x00007FFF9A4C4A60           	0x00007FFF99936724           	0x00007FFF7DDA5230	     
IAT   	6300 	SCPSL.exe::nvapi64.dll              	KERNEL32.dll!WakeConditionVariable                                       	8       	0x00007FFF9A4C4A60           	0x00007FFF99936724           	0x00007FFF8B532510	     
IAT   	6300 	SCPSL.exe::AudioSes.dll             	MMDevAPI.DLL!(#10)                                                       	8       	0x00007FFF8EF54850           	0x00007FFF8EF54090           	0x00007FFF8B7DDA58	     
IAT   	6300 	SCPSL.exe::AudioSes.dll             	MMDevAPI.DLL!(#11)                                                       	8       	0x00007FFF8EF54630           	0x00007FFF8EFAD970           	0x00007FFF8B7DDA60	     
IAT   	6300 	SCPSL.exe::AudioSes.dll             	MMDevAPI.DLL!(#29)                                                       	8       	0x00007FFF8EF64190           	0x00007FFF8EF8BE60           	0x00007FFF8B7DDA80	     
IAT   	6300 	SCPSL.exe::AudioSes.dll             	MMDevAPI.DLL!(#30)                                                       	8       	0x00007FFF8EF8C080           	0x00007FFF8EF5C5E0           	0x00007FFF8B7DDA78	     
